Year,Major,Gender,Admission,Admissao
1973-01-01,C,F,Rejected,Reprovado
1973-01-01,B,M,Accepted,Aprovado
1973-01-01,Other,F,Accepted,Aprovado
1973-01-01,Other,M,Accepted,Aprovado
1973-01-01,Other,M,Rejected,Reprovado
1973-01-01,F,F,Accepted,Aprovado
1973-01-01,A,M,Accepted,Aprovado
1973-01-01,Other,F,Rejected,Reprovado
1973-01-01,C,M,Rejected,Reprovado
1973-01-01,A,M,Rejected,Reprovado
1973-01-01,F,M,Rejected,Reprovado
1973-01-01,C,M,Accepted,Aprovado
1973-01-01,F,F,Rejected,Reprovado
1973-01-01,D,M,Rejected,Reprovado
1973-01-01,C,F,Accepted,Aprovado
1973-01-01,E,M,Rejected,Reprovado
1973-01-01,B,M,Rejected,Reprovado
1973-01-01,D,M,Accepted,Aprovado
1973-01-01,D,F,Rejected,Reprovado
1973-01-01,E,F,Accepted,Aprovado
1973-01-01,D,F,Accepted,Aprovado
1973-01-01,E,M,Accepted,Aprovado
1973-01-01,E,F,Rejected,Reprovado
1973-01-01,F,M,Accepted,Aprovado
1973-01-01,A,F,Accepted,Aprovado
1973-01-01,A,F,Rejected,Reprovado
1973-01-01,B,F,Accepted,Aprovado
1973-01-01,B,F,Rejected,Reprovado
